iter	Passed	Remaining
0	42	42639
1	86	43272
2	134	44642
3	166	41526
4	194	38753
5	221	36764
6	244	34750
7	267	33150
8	289	31864
9	315	31220
10	338	30429
11	362	29880
12	387	29423
13	410	28933
14	433	28469
15	456	28080
16	478	27660
17	501	27378
18	528	27268
19	550	26987
20	575	26822
21	599	26628
22	623	26476
23	646	26292
24	669	26108
25	692	25938
26	714	25743
27	737	25600
28	760	25479
29	784	25360
30	805	25192
31	828	25050
32	851	24957
33	874	24841
34	898	24780
35	920	24656
36	942	24530
37	965	24453
38	987	24339
39	1010	24243
40	1032	24146
41	1054	24058
42	1079	24035
43	1103	23982
44	1129	23966
45	1154	23933
46	1180	23941
47	1203	23878
48	1225	23788
49	1247	23711
50	1270	23648
51	1294	23602
52	1315	23498
53	1337	23423
54	1361	23386
55	1384	23332
56	1406	23272
57	1429	23217
58	1451	23155
59	1474	23100
60	1497	23048
61	1518	22966
62	1539	22897
63	1561	22835
64	1583	22782
65	1606	22733
66	1627	22664
67	1648	22597
68	1671	22553
69	1694	22507
70	1715	22448
71	1738	22407
72	1761	22372
73	1783	22313
74	1805	22262
75	1825	22196
76	1846	22130
77	1869	22096
78	1891	22052
79	1912	21998
80	1934	21950
81	1956	21906
82	1978	21855
83	2003	21850
84	2025	21805
85	2045	21744
86	2068	21711
87	2090	21660
88	2111	21614
89	2132	21561
90	2154	21520
91	2175	21472
92	2198	21439
93	2221	21409
94	2241	21356
95	2262	21305
96	2285	21280
97	2308	21245
98	2329	21201
99	2352	21176
100	2373	21128
101	2396	21096
102	2418	21060
103	2441	21031
104	2463	20994
105	2484	20952
106	2505	20909
107	2526	20867
108	2548	20834
109	2569	20786
110	2589	20741
111	2610	20693
112	2631	20654
113	2652	20618
114	2673	20573
115	2697	20554
116	2717	20509
117	2738	20467
118	2759	20429
119	2780	20387
120	2800	20346
121	2821	20307
122	2844	20278
123	2865	20246
124	2887	20211
125	2908	20172
126	2929	20140
127	2949	20094
128	2972	20068
129	2994	20039
130	3017	20015
131	3042	20004
132	3064	19974
133	3085	19939
134	3106	19905
135	3128	19872
136	3148	19832
137	3169	19799
138	3191	19766
139	3211	19729
140	3232	19693
141	3254	19663
